13590 21020
2 11575 12477
2 11881 2641
2 10848 6882
2 7644 728
2 6979 995
2 3156 3853
2 12928 5494
2 4923 1389
2 7361 10572
2 12827 7507
2 10009 6445
2 8601 9834
2 7478 4963
2 13217 6145
2 5382 385
2 297 5541
2 12607 4570
2 7011 9442
2 617 4019
2 6528 3915
2 4045 13303
2 11366 11804
2 3980 1593
2 5964 13241
2 13429 3952
2 2085 10484
2 10004 9736
2 9724 9640
2 13452 8431
2 13524 3613
2 8719 2451
2 5612 12996
2 6142 2391
2 11652 3048
2 13401 7169
2 1801 9988
2 9123 156
2 5356 5041
2 2270 9629
2 11909 11470
2 8250 729
2 1506 9154
2 88 9917
2 5569 4058
2 9726 12199
2 6352 8406
2 3081 4435
2 311 9654
2 9129 1138
2 12558 2492
2 7949 8965
2 9009 10835
2 11937 13587
2 6917 12891
2 11157 11242
2 3903 9786
2 5138 6933
2 5103 918
2 4154 12103
2 1306 5409
2 6986 5010
2 10699 415
2 5119 4844
2 11500 6029
2 6745 4387
2 1580 13525
2 5816 6444
2 5730 3458
2 12085 2423
2 8762 5051
2 10977 1710
2 801 780
2 1019 1314
2 189 8981
2 3559 3850
2 10801 11318
2 9358 3257
2 1635 11274
2 9763 7331
2 9483 11651
2 5209 3517
2 12745 8696
2 1775 390
2 11441 2291
2 6010 30
2 7712 3762
2 12070 317
2 7877 13012
2 2274 11542
2 7704 13117
2 4504 8118
2 6468 13294
2 13097 10741
2 9862 5495
2 470 6672
2 13054 948
2 13390 11149
2 597 10316
2 9274 2896
2 9493 1159
2 11492 11398
2 8886 4621
2 2973 1468
2 11567 1042
2 12378 7365
2 9343 938
2 8034 5901
2 12479 7315
2 4188 1658
2 11579 12560
2 7419 11167
2 6609 3902
2 1752 3176
2 10336 1113
2 10811 13025
2 12190 2015
2 5637 4720
2 4207 10979
2 7979 5076
2 1133 4966
2 11428 9534
2 4160 429
2 5582 4979
2 1727 9361
2 12339 13114
2 5686 7937
2 4288 3960
2 9000 1122
2 4527 3422
2 4847 9310
2 4461 5406
2 9961 11120
2 7382 9153
2 8794 7957
2 12806 4587
2 8310 10001
2 3452 876
2 9161 11656
2 13587 11343
2 12363 1614
2 6222 2898
2 3497 4116
2 3486 5838
2 9094 1238
2 8869 4000
2 3273 6644
2 5716 6485
2 13501 9765
2 11905 12912
2 3616 5188
2 4 11447
2 5750 3824
2 10214 11648
2 8909 7055
2 2755 10104
2 1352 9875
2 5204 7069
2 11210 8117
2 2150 9346
2 4534 5814
2 11108 9755
2 11617 3636
2 13578 1964
2 52 7330
2 1084 6923
2 11162 4566
2 12884 4022
2 10807 7594
2 9474 1762
